Open,High,Low,Close,Trades
91680.00000000,92135.10000000,91353.39000000,91707.32000000,523048
91680.00000000,92135.10000000,91353.39000000,91707.32000000,523058
91680.00000000,92135.10000000,91353.39000000,91707.33000000,523060
91680.00000000,92135.10000000,91353.39000000,91689.12000000,523140
91680.00000000,92135.10000000,91353.39000000,91684.69000000,523175
91680.00000000,92135.10000000,91353.39000000,91684.70000000,523178
91680.00000000,92135.10000000,91353.39000000,91696.86000000,523334
91680.00000000,92135.10000000,91353.39000000,91710.61000000,523862
91680.00000000,92135.10000000,91353.39000000,91743.12000000,524592
91680.00000000,92135.10000000,91353.39000000,91750.60000000,524759
91680.00000000,92135.10000000,91353.39000000,91750.60000000,524774
91680.00000000,92135.10000000,91353.39000000,91750.60000000,524780
91680.00000000,92135.10000000,91353.39000000,91750.60000000,524786
91680.00000000,92135.10000000,91353.39000000,91750.60000000,524787
91680.00000000,92135.10000000,91353.39000000,91738.53000000,524874
91680.00000000,92135.10000000,91353.39000000,91738.54000000,524876
91680.00000000,92135.10000000,91353.39000000,91738.54000000,524880
91680.00000000,92135.10000000,91353.39000000,91738.53000000,524883
91680.00000000,92135.10000000,91353.39000000,91738.53000000,524885
91680.00000000,92135.10000000,91353.39000000,91750.59000000,525394
91680.00000000,92135.10000000,91353.39000000,91750.59000000,525398
91680.00000000,92135.10000000,91353.39000000,91750.60000000,525403
91680.00000000,92135.10000000,91353.39000000,91750.60000000,525406
91680.00000000,92135.10000000,91353.39000000,91750.60000000,525409
