Time,Open,High,Low,Close,Volume
2026-01-07 23:11:41,91109.09000000,91231.90000000,90873.08000000,91030.41000000,79532
2026-01-07 23:11:43,91109.09000000,91231.90000000,90873.08000000,91030.42000000,79533
2026-01-07 23:11:44,91109.09000000,91231.90000000,90873.08000000,91030.41000000,79537
2026-01-07 23:11:45,91109.09000000,91231.90000000,90873.08000000,91030.41000000,79540
2026-01-07 23:11:46,91109.09000000,91231.90000000,90873.08000000,91030.41000000,79542
2026-01-07 23:11:47,91109.09000000,91231.90000000,90873.08000000,91030.42000000,79543
2026-01-07 23:11:48,91109.09000000,91231.90000000,90873.08000000,91030.42000000,79546
2026-01-07 23:11:49,91109.09000000,91231.90000000,90873.08000000,91030.42000000,79547
2026-01-07 23:11:50,91109.09000000,91231.90000000,90873.08000000,91030.41000000,79550
2026-01-07 23:11:51,91109.09000000,91231.90000000,90873.08000000,91030.42000000,79554
2026-01-07 23:11:52,91109.09000000,91231.90000000,90873.08000000,91030.42000000,79555
2026-01-07 23:11:53,91109.09000000,91231.90000000,90873.08000000,91030.42000000,79556
2026-01-07 23:11:54,91109.09000000,91231.90000000,90873.08000000,91030.42000000,79565
