Time,Open,High,Low,Close,Volume
2026-01-07 23:31:18,91196.77000000,91231.90000000,90873.08000000,91127.17000000,81276
2026-01-07 23:31:19,91196.77000000,91231.90000000,90873.08000000,91127.16000000,81277
2026-01-07 23:31:20,91196.77000000,91231.90000000,90873.08000000,91127.17000000,81281
2026-01-07 23:31:21,91196.77000000,91231.90000000,90873.08000000,91127.16000000,81282
2026-01-07 23:31:23,91196.77000000,91231.90000000,90873.08000000,91132.17000000,81481
2026-01-07 23:31:24,91196.77000000,91231.90000000,90873.08000000,91132.17000000,81483
2026-01-07 23:31:25,91196.77000000,91231.90000000,90873.08000000,91132.17000000,81489
2026-01-07 23:31:26,91196.77000000,91231.90000000,90873.08000000,91132.17000000,81492
2026-01-07 23:31:27,91196.77000000,91231.90000000,90873.08000000,91132.17000000,81494
2026-01-07 23:31:28,91196.77000000,91231.90000000,90873.08000000,91138.80000000,81627
2026-01-07 23:31:29,91196.77000000,91231.90000000,90873.08000000,91150.07000000,81979
2026-01-07 23:31:30,91196.77000000,91231.90000000,90873.08000000,91150.08000000,81981
2026-01-07 23:31:31,91196.77000000,91231.90000000,90873.08000000,91150.46000000,82066
2026-01-07 23:31:32,91196.77000000,91231.90000000,90873.08000000,91153.84000000,82244
2026-01-07 23:31:33,91196.77000000,91231.90000000,90873.08000000,91159.19000000,82431
2026-01-07 23:31:34,91196.77000000,91231.90000000,90873.08000000,91163.74000000,82536
2026-01-07 23:31:35,91196.77000000,91231.90000000,90873.08000000,91172.55000000,82865
2026-01-07 23:31:36,91196.77000000,91231.90000000,90873.08000000,91172.55000000,82878
2026-01-07 23:31:37,91196.77000000,91231.90000000,90873.08000000,91172.55000000,82898
2026-01-07 23:31:38,91196.77000000,91231.90000000,90873.08000000,91172.55000000,82901
2026-01-07 23:31:39,91196.77000000,91231.90000000,90873.08000000,91172.55000000,82903
2026-01-07 23:31:41,91196.77000000,91231.90000000,90873.08000000,91172.54000000,82904
2026-01-07 23:31:42,91196.77000000,91231.90000000,90873.08000000,91172.54000000,82905
2026-01-07 23:31:44,91196.77000000,91231.90000000,90873.08000000,91172.55000000,82908
2026-01-07 23:31:45,91196.77000000,91231.90000000,90873.08000000,91177.09000000,83108
2026-01-07 23:31:46,91196.77000000,91231.90000000,90873.08000000,91186.59000000,83455
2026-01-07 23:31:47,91196.77000000,91231.90000000,90873.08000000,91186.70000000,83462
2026-01-07 23:31:48,91196.77000000,91231.90000000,90873.08000000,91186.69000000,83466
2026-01-07 23:31:49,91196.77000000,91231.90000000,90873.08000000,91186.70000000,83468
2026-01-07 23:31:50,91196.77000000,91231.90000000,90873.08000000,91186.70000000,83488
2026-01-07 23:31:51,91196.77000000,91231.90000000,90873.08000000,91186.79000000,83657
2026-01-07 23:31:52,91196.77000000,91231.90000000,90873.08000000,91190.00000000,83725
2026-01-07 23:31:53,91196.77000000,91231.90000000,90873.08000000,91189.99000000,83729
2026-01-07 23:31:54,91196.77000000,91231.90000000,90873.08000000,91195.79000000,83865
2026-01-07 23:31:55,91196.77000000,91231.90000000,90873.08000000,91195.81000000,83870
2026-01-07 23:31:56,91196.77000000,91231.90000000,90873.08000000,91195.81000000,83871
2026-01-07 23:31:57,91196.77000000,91231.90000000,90873.08000000,91195.81000000,83873
2026-01-07 23:31:58,91196.77000000,91231.90000000,90873.08000000,91193.16000000,84064
2026-01-07 23:31:59,91196.77000000,91231.90000000,90873.08000000,91193.17000000,84068
