Time,Open,High,Low,Close,Volume
90568.93000000,92082.55000000,89850.00000000,90731.69000000,3084412
90568.93000000,92082.55000000,89850.00000000,90731.68000000,3084413
90568.93000000,92082.55000000,89850.00000000,90728.08000000,3084541
90568.93000000,92082.55000000,89850.00000000,90728.08000000,3084548
90568.93000000,92082.55000000,89850.00000000,90727.37000000,3084670
90568.93000000,92082.55000000,89850.00000000,90727.37000000,3084701
90568.93000000,92082.55000000,89850.00000000,90727.37000000,3084740
90568.93000000,92082.55000000,89850.00000000,90727.38000000,3084742
90592.43000000,92082.55000000,89850.00000000,90727.36000000,3081210
90592.43000000,92082.55000000,89850.00000000,90727.36000000,3081217
90592.43000000,92082.55000000,89850.00000000,90727.37000000,3081222
90592.43000000,92082.55000000,89850.00000000,90727.36000000,3081226
90592.43000000,92082.55000000,89850.00000000,90727.36000000,3081227
90592.43000000,92082.55000000,89850.00000000,90727.36000000,3081229
90592.43000000,92082.55000000,89850.00000000,90727.35000000,3081287
90592.43000000,92082.55000000,89850.00000000,90727.35000000,3081300
90592.43000000,92082.55000000,89850.00000000,90727.35000000,3081301
90592.43000000,92082.55000000,89850.00000000,90727.36000000,3081303
90592.43000000,92082.55000000,89850.00000000,90727.35000000,3081304
90592.43000000,92082.55000000,89850.00000000,90727.35000000,3081307
90592.43000000,92082.55000000,89850.00000000,90727.35000000,3081308
90592.43000000,92082.55000000,89850.00000000,90727.36000000,3081310
90592.43000000,92082.55000000,89850.00000000,90715.91000000,3081613
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081618
90592.43000000,92082.55000000,89850.00000000,90715.91000000,3081623
90592.43000000,92082.55000000,89850.00000000,90715.91000000,3081626
90592.43000000,92082.55000000,89850.00000000,90715.91000000,3081629
90592.43000000,92082.55000000,89850.00000000,90715.91000000,3081632
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081637
90592.43000000,92082.55000000,89850.00000000,90715.91000000,3081638
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081639
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081641
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081642
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081646
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081647
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081649
90592.43000000,92082.55000000,89850.00000000,90715.90000000,3081651
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082122
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082124
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082130
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082132
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082134
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082136
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082137
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082138
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082143
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082144
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082147
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082149
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082152
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082153
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082158
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082159
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082161
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082163
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082167
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082168
90592.43000000,92082.55000000,89850.00000000,90708.26000000,3082170
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082171
90592.43000000,92082.55000000,89850.00000000,90708.25000000,3082173
90668.79000000,92082.55000000,89850.00000000,90708.26000000,3078419
90668.79000000,92082.55000000,89850.00000000,90708.26000000,3078422
90668.79000000,92082.55000000,89850.00000000,90708.26000000,3078425
90668.79000000,92082.55000000,89850.00000000,90708.25000000,3078426
90668.79000000,92082.55000000,89850.00000000,90708.26000000,3078428
90668.79000000,92082.55000000,89850.00000000,90708.25000000,3078431
90668.79000000,92082.55000000,89850.00000000,90708.26000000,3078434
